주,신호수,평균섹터강도,N1_평균수익률,N2_평균수익률,N3_평균수익률,N5_평균수익률,N7_평균수익률,N10_평균수익률,N15_평균수익률,N20_평균수익률,최고였던_보유일수
2024-33주,5,11.632,0.973,2.592,3.152,5.623,5.256,15.33,8.971,5.56,10
2024-34주,6,1.84,4.06,4.634,9.645,13.066,15.196,10.04,8.728,16.112,20
2024-35주,11,7.233,-0.071,1.712,-0.79,-0.277,-1.331,-4.563,-4.123,-3.131,2
2024-36주,6,6.928,-3.724,-1.426,-3.121,-3.0,-1.473,-2.917,-2.676,-1.623,2
2024-37주,3,4.4,0.054,2.874,3.449,4.799,7.213,2.5,5.741,7.212,7
2024-38주,5,5.892,2.317,1.665,2.708,0.715,-1.07,-1.462,-1.141,-2.389,3
2024-39주,9,3.716,-0.336,0.607,0.822,1.021,1.243,-0.183,-2.013,-2.227,7
2024-40주,4,4.142,-0.461,1.279,1.553,1.56,4.338,5.411,4.144,3.15,10
2024-41주,13,10.48,1.085,0.077,0.252,0.494,2.06,0.546,-0.862,-2.556,7
2024-42주,13,10.671,1.124,0.561,-1.082,-1.737,-0.862,-2.24,-3.024,-3.071,1
2024-43주,8,4.888,-1.384,-1.947,-2.951,-2.568,-3.455,-4.76,-2.527,-3.156,1
2024-44주,7,4.624,-0.515,-0.045,0.555,1.083,2.044,3.676,-0.018,-1.771,10
2024-45주,17,5.578,0.79,0.602,0.207,0.189,0.441,-1.034,-3.653,-4.017,1
2024-46주,10,12.771,-0.353,-0.983,-0.668,-1.644,-3.289,-3.721,-5.123,-5.504,1
2024-47주,9,8.346,-1.49,0.904,1.487,1.249,-0.497,-4.151,-5.697,-5.697,3
2024-48주,6,11.733,-1.147,-2.149,-4.173,-4.156,-5.147,-5.147,-5.147,-5.147,1
2024-50주,5,-2.054,0.039,0.52,2.099,0.862,1.593,-0.066,9.016,11.407,20
2024-51주,4,1.61,-2.007,-2.246,-1.464,-0.769,-1.664,0.869,-1.257,-2.089,10
2024-52주,9,-0.164,0.81,2.422,13.922,14.411,16.738,18.479,29.731,24.407,15
2025-01주,13,18.95,2.393,2.119,0.468,0.909,2.339,4.788,8.24,21.83,20
2025-02주,22,18.526,-1.479,-0.795,-0.269,2.014,3.519,4.454,8.449,9.069,20
2025-03주,17,9.598,1.213,1.265,2.263,3.073,1.229,1.367,1.703,4.937,20
2025-04주,18,14.885,-1.915,-2.571,-3.345,-3.686,-3.626,-3.727,-2.02,-3.368,1
2025-06주,13,11.928,0.57,0.833,0.309,1.755,5.106,3.76,-0.062,-0.677,7
2025-07주,21,14.02,1.651,3.26,5.916,8.501,7.437,5.841,7.17,7.254,5
2025-08주,22,11.094,-0.987,-2.004,-1.441,-2.975,-4.711,-3.347,-1.468,-1.167,1
2025-09주,7,11.457,-0.152,-1.9,-3.032,-0.779,0.29,0.799,0.033,-1.238,10
2025-10주,8,15.11,-1.006,-2.587,-3.328,-2.781,-0.875,-2.461,-4.111,-4.111,7
2025-11주,6,2.792,1.17,0.171,2.375,-0.46,0.857,-2.08,-5.145,-5.145,3
2025-12주,9,5.293,-1.286,-3.74,-6.108,-5.636,-6.575,-7.453,-9.771,-9.771,1
